slurm id,learn_rate,learn_decay,gpu,iterations,clustering type,cluster wait,number of layers,dataset,conv type,hidden layer dims,k-proportional,k-number,nodes/cluster,1-stddev,avg time,1-avg peak train epoch,1-avg peak train acc,1-avg end train acc,1-avg test accuracy
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [0]]","[[0], [0]]","[[0], [0]]",0,2.614095650613308,174.0,0.803,0.78,0.78
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [1.0]]","[[0], [7]]","[[0], [400]]",0,11.63291851291433,158.0,0.8,0.785,0.785
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [3.86]]","[[0], [27]]","[[0], [100]]",0,32.94832214200869,90.0,0.805,0.781,0.781
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [3.86, 3.86]]","[[0], [27, 27]]","[[0], [100, 100]]",0,71.1619882970117,175.0,0.785,0.752,0.76
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [0]]","[[7], [0]]","[[400], [0]]",0,1.7224979093298316,199.0,0.807,0.807,0.807
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [1.0]]","[[7], [7]]","[[400], [400]]",0,10.216341049876064,35.0,0.787,0.761,0.76
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [1.0, 1.0]]","[[0], [7, 7]]","[[0], [400, 400]]",0,17.745575070381165,18.0,0.785,0.744,0.744
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86]]","[[7], [27]]","[[400], [100]]",0,34.83588423812762,54.0,0.796,0.774,0.773
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [1.0, 3.86]]","[[0], [7, 27]]","[[0], [400, 100]]",0,41.15643977513537,158.0,0.786,0.778,0.778
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [1.0, 1.0]]","[[7], [7, 7]]","[[400], [400, 400]]",0,17.92405072506517,194.0,0.778,0.751,0.751
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [3.86, 1.0]]","[[0], [27, 7]]","[[0], [100, 400]]",0,43.41120494995266,99.0,0.808,0.796,0.796
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [1.0, 3.86]]","[[7], [7, 27]]","[[400], [400, 100]]",0,40.19471631105989,158.0,0.76,0.742,0.741
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86, 1.0]]","[[7], [27, 7]]","[[400], [100, 400]]",0,42.15953325619921,129.0,0.811,0.801,0.799
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[0], [3.86, 3.86]]","[[0], [27, 27]]","[[0], [100, 100]]",0,66.66210277704522,79.0,0.795,0.786,0.786
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [0]]","[[7], [0]]","[[400], [0]]",0,1.8161157169379294,185.0,0.806,0.796,0.796
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [1.0]]","[[7], [7]]","[[400], [400]]",0,10.815135341137648,59.0,0.793,0.785,0.785
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86, 3.86]]","[[7], [27, 27]]","[[400], [100, 100]]",0,66.19157374510542,94.0,0.778,0.75,0.749
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [0]]","[[27], [0]]","[[100], [0]]",0,1.9326564520597458,75.0,0.792,0.779,0.779
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86]]","[[7], [27]]","[[400], [100]]",0,41.273889395873994,137.0,0.779,0.751,0.751
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0]]","[[27], [7]]","[[100], [400]]",0,11.575800721067935,47.0,0.805,0.782,0.781
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [1.0, 1.0]]","[[7], [7, 7]]","[[400], [400, 400]]",0,19.277885254006833,175.0,0.801,0.792,0.792
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86]]","[[27], [27]]","[[100], [100]]",0,35.03087332285941,75.0,0.835,0.81,0.809
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [1.0, 3.86]]","[[7], [7, 27]]","[[400], [400, 100]]",0,39.043350733816624,176.0,0.801,0.794,0.794
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0, 1.0]]","[[27], [7, 7]]","[[100], [400, 400]]",0,18.040729118976742,129.0,0.79,0.772,0.772
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0, 3.86]]","[[27], [7, 27]]","[[100], [400, 100]]",0,36.22999372286722,85.0,0.765,0.734,0.733
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86, 1.0]]","[[7], [27, 7]]","[[400], [100, 400]]",0,44.45466170879081,89.0,0.808,0.797,0.797
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 1.0]]","[[27], [27, 7]]","[[100], [100, 400]]",0,42.53954109875485,198.0,0.774,0.774,0.774
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[1.0], [3.86, 3.86]]","[[7], [27, 27]]","[[400], [100, 100]]",0,64.13175190519542,138.0,0.791,0.773,0.774
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [0]]","[[27], [0]]","[[100], [0]]",0,1.744684038683772,181.0,0.799,0.784,0.784
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0]]","[[27], [7]]","[[100], [400]]",0,8.675973809324205,139.0,0.791,0.765,0.765
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 3.86]]","[[27], [27, 27]]","[[100], [100, 100]]",0,61.42613081401214,110.0,0.808,0.8,0.799
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86]]","[[27], [27]]","[[100], [100]]",0,30.19346122816205,21.0,0.816,0.809,0.809
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0, 1.0]]","[[27], [7, 7]]","[[100], [400, 400]]",0,11.960514847189188,146.0,0.797,0.789,0.789
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [1.0, 3.86]]","[[27], [7, 27]]","[[100], [400, 100]]",0,37.6967712379992,156.0,0.811,0.799,0.799
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 1.0]]","[[27], [27, 7]]","[[100], [100, 400]]",0,38.157271071802825,164.0,0.798,0.791,0.791
br2_7409325,0.01,0.001,NVIDIA GeForce GTX 1080 Ti,1,-1,0,2,Cora,GCN,[32],"[[3.86], [3.86, 3.86]]","[[27], [27, 27]]","[[100], [100, 100]]",0,55.84632061980665,152.0,0.812,0.787,0.787
